codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,450.2845,877.4621026176301,450.3Hz_+40.0c,1,445.6935477605581,881.0591584442648,450.28450210004985,877.4621045919636,445.6935477605581,881.0591584442648,0.0,0.0,0,1179.824179548167,1154.9999958211836,24.824179548166967,-4.178816425337573e-06,7.082489528668044,3.895363036418875e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,450.2845,877.4621026176301,450.3Hz_+40.0c,2,446.4983976627352,880.9022077508894,450.28450209031,877.4621045903345,446.4983976627352,880.9022077508894,0.0,0.0,0,1176.392245282412,1154.9999958554167,21.392245282411977,-4.144583272136515e-06,6.774062351627857,3.892148974546296e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,450.2845,877.4621026176301,450.3Hz_+40.0c,3,445.7472571564528,880.9106556687768,450.2845020963957,877.4621045914992,445.7472571564528,880.9106556687768,0.0,0.0,0,1179.3237409125657,1154.9999958343165,24.323740912565654,-4.165683549217647e-06,6.790664935698446,3.894446600166726e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,450.2845,877.4621026176301,450.3Hz_+40.0c,4,446.3133589336555,879.472398965065,450.2845021061713,877.4621045911564,446.3133589336555,879.472398965065,0.0,0.0,0,1174.2975741593646,1154.9999957960556,19.297574159364558,-4.203944399705506e-06,3.9617811603912756,3.8937704209018205e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,452.893,882.5452442640294,452.9Hz_+50.0c,0,449.4592928422087,882.6174508363698,452.8930010470441,882.5452423464787,449.17978629519416,882.6174508363698,1.0769424076176046,0.0,0,1168.317376987139,1154.9999922360173,13.317376987138914,-7.763982694086735e-06,0.14163734257346886,-3.7615397104852408e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,452.893,882.5452442640294,452.9Hz_+50.0c,1,449.78156115935343,884.3865700997408,452.89300104865185,882.5452423472739,449.78156115935343,884.3865700997408,0.0,0.0,0,1170.5431179575273,1154.9999922314312,15.543117957527329,-7.768568821120425e-06,3.608251444958146,-3.7599799621171454e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,452.893,882.5452442640294,452.9Hz_+50.0c,2,450.30529189698746,882.8614085090803,452.8930010540891,882.5452423448053,450.30529189698746,882.8614085090803,0.0,0.0,0,1165.5402593900067,1154.9999922058041,10.540259390006668,-7.794195880705956e-06,0.6200886477024481,-3.7648223897678957e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,452.893,882.5452442640294,452.9Hz_+50.0c,3,449.1972576241435,882.9717926599841,452.893001045442,882.5452423461095,448.96383634420937,882.9717926599841,0.8998538890418095,0.0,0,1170.0218764475628,1154.999992241417,15.021876447562818,-7.75858302404231e-06,0.836531288654357,-3.7622641333563876e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,452.893,882.5452442640294,452.9Hz_+50.0c,4,449.31280706283695,882.6027034309111,452.89300103797075,882.5452423471769,449.31280706283695,882.6027034309111,0.0,0.0,0,1168.85277813509,1154.9999922720706,13.85277813508992,-7.727929414613754e-06,0.11271040062312503,-3.760170245651885e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,455.5166,887.6578110355431,455.5Hz_+60.0c,0,455.5310283905699,885.015773338558,455.51659861226784,887.6578092170867,455.5310283905699,885.015773338558,0.0,0.0,0,1149.7846102564063,1155.0000017276004,-5.215389743593732,1.7276004200539319e-06,-5.160554144989749,-3.5466073464028483e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,455.5166,887.6578110355431,455.5Hz_+60.0c,1,455.8382599119069,887.7775222592551,455.51659860925196,887.6578092166204,455.8382599119069,887.7775222592551,0.0,0.0,0,1154.011394198656,1155.0000017381533,-0.9886058013439651,1.7381532870786032e-06,0.2334617803006594,-3.547516671052084e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,455.5166,887.6578110355431,455.5Hz_+60.0c,2,455.9611880036031,886.1763116980381,455.51659860810616,887.6578092167142,455.9611880036031,886.1763116980381,0.0,0.0,0,1150.4192846453784,1155.0000017426908,-4.580715354621589,1.7426907561457483e-06,-2.8918405168259675,-3.5473336913298116e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,455.5166,887.6578110355431,455.5Hz_+60.0c,3,456.1453557144866,885.6323455193426,455.5165986060058,887.6578092182042,456.1453557144866,885.6323455193426,0.0,0.0,0,1148.6571428367347,1155.0000017535797,-6.3428571632653075,1.7535796814627247e-06,-3.9548591400282374,-3.5444277350051887e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,455.5166,887.6578110355431,455.5Hz_+60.0c,4,456.2471523196106,883.8772031662703,455.5165986102277,887.6578092163809,456.50235307800494,883.8772031662703,-0.9680909190964093,0.0,0,1144.8364752025132,1155.0000017339778,-10.163524797486843,1.7339777969027637e-06,-7.3892155144586384,-3.5479839228428885e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,458.1553,892.799802932171,458.2Hz_+70.0c,0,461.8959189700564,889.7297033904813,458.15530196029755,892.7998010070796,461.8959189700564,889.7297033904813,0.0,0.0,0,1134.9591812692202,1154.999988859655,-20.040818730779847,-1.1140344895466114e-05,-5.963509829495163,-3.732957585922797e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,458.1553,892.799802932171,458.2Hz_+70.0c,1,461.43672646136054,886.9782628874185,458.1553019746777,892.7998010065788,461.43672646136054,886.9782628874185,0.0,0.0,0,1131.3190968236936,1154.9999888043458,-23.6809031763064,-1.1195654224138707e-05,-11.325551742037845,-3.7339286085667277e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,458.1553,892.799802932171,458.2Hz_+70.0c,2,461.77092137073015,885.8592119013629,458.1553019755917,892.7998010067322,461.77092137073015,885.8592119013629,0.0,0.0,0,1127.880126382762,1154.9999888011891,-27.119873617238,-1.1198810852874885e-05,-13.511132151472655,-3.7336312665180024e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,458.1553,892.799802932171,458.2Hz_+70.0c,3,461.7835651071373,886.4881488777553,458.1553019709145,892.7998010072893,462.0837248635609,886.4881488777553,-1.1249382122419573,0.0,0,1129.0614191433103,1154.9999888199434,-25.93858085668967,-1.1180056617376977e-05,-12.282437169837298,-3.7325510710985863e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,458.1553,892.799802932171,458.2Hz_+70.0c,4,462.48360813622014,889.1896852562343,458.1553019692423,892.7998010063187,462.48360813622014,889.1896852562343,0.0,0.0,0,1131.706776060782,1154.99998882438,-23.293223939218024,-1.1175620102221728e-05,-7.014594904857329,-3.734432956036576e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,460.8094,897.9718045590479,460.8Hz_+80.0c,0,464.4840992394462,888.6455262886761,460.8093989992434,897.9718064839506,464.4840992394462,888.6455262886761,0.0,0.0,0,1123.174613591842,1155.0000074708773,-31.82538640815801,7.470877335435944e-06,-18.07451083256583,3.71109323100416e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,460.8094,897.9718045590479,460.8Hz_+80.0c,1,465.37502607845465,894.011395246529,460.8093989887005,897.9718064816942,465.37502607845465,894.2133950409134,0.0,-0.3911241196628408,0,1130.2793141772615,1155.0000075061366,-24.72068582273846,7.5061366260342766e-06,-7.652311264975522,3.706743234095419e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,460.8094,897.9718045590479,460.8Hz_+80.0c,2,463.95932545274337,892.5788152083653,460.8093990007774,897.9718064835536,463.95932545274337,892.9246414748231,0.0,-0.6706301382941154,0,1132.7774800059017,1155.000007464349,-22.22251999409832,7.464348982466618e-06,-10.428697094379249,3.710327868345509e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,460.8094,897.9718045590479,460.8Hz_+80.0c,3,463.98653811929614,888.9432437704119,460.8093990123129,897.9718064837332,463.98653811929614,888.9432437704119,0.0,0.0,0,1125.6100345809607,1155.000007421357,-29.3899654190393,7.421356940540136e-06,-17.494603201639986,3.710674222818359e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,460.8094,897.9718045590479,460.8Hz_+80.0c,4,463.84940085286354,889.7042779662017,460.8093990097669,897.9718064791196,463.84940085286354,889.7042779662017,0.0,0.0,0,1127.6032936414165,1155.0000074220275,-27.396706358583515,7.422027465509018e-06,-16.013108552974426,3.7017793325327887e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,463.4789,903.1738159161738,463.5Hz_+90.0c,0,466.4467917541803,900.467175570753,463.4789017031946,903.1738153279248,466.4467917541803,900.467175570753,0.0,0.0,0,1138.7534001748083,1154.999992510477,-16.24659982519165,-7.4895228863169905e-06,-5.195969113727301,-1.1275756330897372e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,463.4789,903.1738159161738,463.5Hz_+90.0c,1,466.92873807372894,898.1404031736291,463.4789017054217,903.1738153274413,466.92873807372894,897.8577497047928,0.0,0.5449218448161055,0,1132.4863310522965,1154.9999925012312,-22.513668947703536,-7.498768809455214e-06,-9.675200595948835,-1.128502448446425e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,463.4789,903.1738159161738,463.5Hz_+90.0c,2,465.6666953073933,899.0768351158043,463.4789017089177,903.1738153273196,465.6666953073933,899.0768351158043,0.0,0.0,0,1138.9760521145975,1154.9999924879394,-16.02394788540255,-7.5120606197742745e-06,-7.871097035066802,-1.1287355938275246e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,463.4789,903.1738159161738,463.5Hz_+90.0c,3,466.03334745638466,898.4546132440859,463.4789017044117,903.1738153279103,466.03334745638466,898.4546132440859,0.0,0.0,0,1136.4149204819644,1154.999992505903,-18.585079518035627,-7.494096962545882e-06,-9.069642667634797,-1.1276033106947482e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,463.4789,903.1738159161738,463.5Hz_+90.0c,4,466.0411359703775,899.2779443590774,463.4789017167043,903.173815327271,466.0411359703775,899.2779443590774,0.0,0.0,0,1137.9717396842784,1154.9999924587607,-17.02826031572158,-7.541239256170229e-06,-7.4838907118634515,-1.128828813538846e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,466.1638,908.4058370035486,466.2Hz_ongrid,0,467.8308867182389,905.6080256828913,466.1637980780959,908.4058390382006,467.8308867182389,600.2989932649997,0.0,711.8465942368778,0,1143.479556611429,1155.0000110151732,-11.520443388571039,1.1015173186024185e-05,-5.340278992910283,3.87762668900355e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,466.1638,908.4058370035486,466.2Hz_ongrid,1,468.7176118533422,908.6841384271112,466.16379808464853,908.4058390385185,468.7176118533422,908.6841384271112,0.0,0.0,0,1146.0718699199997,1155.000010991444,-8.928130080000301,1.0991444014507579e-05,0.5303038491844172,3.878232521022594e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,466.1638,908.4058370035486,466.2Hz_ongrid,2,468.02924379417846,905.357586030143,466.1637980761497,908.4058390381779,468.02924379417846,905.2565651301619,0.0,0.1931839776953121,0,1142.2668538129867,1155.0000110223577,-12.73314618701329,1.102235773942084e-05,-5.819106038585527,3.877583250540255e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,466.1638,908.4058370035486,466.2Hz_ongrid,3,468.601568508732,905.2832292247193,466.16379807776,908.4058390386189,468.601568508732,905.2832292247193,0.0,0.0,0,1140.0089338328376,1155.0000110172177,-14.991066167162444,1.101721773011377e-05,-5.961297722675771,3.878423957790033e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,466.1638,908.4058370035486,466.2Hz_ongrid,4,467.93165940911604,903.392384235992,466.16379807930605,908.405839038263,467.93165940911604,902.4878612762228,0.0,1.7342690147472895,0,1138.8658914077444,1155.0000110107978,-16.134108592255643,1.1010797834387631e-05,-9.581069443146024,3.8777458564692245e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1160.0,440.0,859.9007722221364,440Hz_ongrid,0,439.7093723575786,868.4336549218198,439.9999989102897,859.9007740403898,439.7093723575786,868.4336549218198,0.0,0.0,0,1178.238423458356,1160.0000079482797,18.23842345835601,7.94827974459622e-06,17.094535478360495,3.6606807800838953e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1160.0,440.0,859.9007722221364,440Hz_ongrid,1,440.20271396632074,867.0048839510242,439.99999891533315,859.9007740413432,440.20271396632074,867.0048839510242,0.0,0.0,0,1173.446496605362,1160.000007930355,13.446496605361972,7.930354968266329e-06,14.243915930142396,3.6626001451038618e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1160.0,440.0,859.9007722221364,440Hz_ongrid,2,439.9180183601014,859.4858928444565,439.99999890892,859.9007740414604,439.9180183601014,850.8417870984664,0.0,17.499684754213003,0,1159.4871206868356,1160.0000079558245,-0.5128793131643761,7.955824457894778e-06,-0.8354762002377853,3.662836173568163e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1160.0,440.0,859.9007722221364,440Hz_ongrid,3,440.07631756176966,864.233062614813,439.99999890786694,859.9007740406695,440.07631756176966,864.233062614813,0.0,0.0,0,1168.4000262182983,1160.0000079583756,8.400026218298308,7.958375590533251e-06,8.700281001143908,3.661243942462075e-06
