cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
150.0,239.91170118635668,1,19,10,413,6,115,13,62,16
150.0,239.91170118635668,2,757,12,413,6,115,18,285,15
152.0,240.1890182055407,0,469,11,413,10,383,17,285,23
152.0,240.1890182055407,1,19,11,413,8,115,17,285,23
152.0,240.1890182055407,2,757,12,413,6,383,21,285,22
154.0,240.46665577903175,0,406,14,413,10,383,24,133,29
154.0,240.46665577903175,1,84,14,413,9,257,24,51,28
154.0,240.46665577903175,2,429,11,413,12,383,20,80,32
156.0,240.74461427736267,0,84,15,413,9,684,20,285,23
156.0,240.74461427736267,1,19,16,413,9,917,17,133,27
156.0,240.74461427736267,2,19,14,413,10,789,19,285,23
158.0,241.02289407149473,0,406,12,413,12,257,18,51,28
158.0,241.02289407149473,1,757,13,413,13,115,20,982,28
158.0,241.02289407149473,2,406,14,413,10,71,21,51,23
160.0,241.30149553281768,0,469,13,413,10,917,25,285,25
160.0,241.30149553281768,1,757,10,413,11,383,18,51,26
160.0,241.30149553281768,2,84,13,413,9,115,22,262,25
162.0,241.58041903315095,0,406,11,413,9,357,21,462,22
162.0,241.58041903315095,1,84,12,413,10,917,16,51,26
162.0,241.58041903315095,2,757,13,413,11,917,18,38,26
164.0,241.85966494474349,0,469,10,413,8,520,22,133,21
164.0,241.85966494474349,1,469,12,413,11,917,22,669,24
164.0,241.85966494474349,2,757,14,413,9,194,19,669,25
166.0,242.13923364027457,0,757,12,413,8,115,25,285,28
166.0,242.13923364027457,1,757,12,413,10,257,23,262,24
166.0,242.13923364027457,2,19,13,413,9,789,23,51,26
168.0,242.41912549285433,0,757,12,413,11,115,24,133,23
168.0,242.41912549285433,1,19,14,413,11,383,24,47,26
168.0,242.41912549285433,2,406,15,413,10,383,22,911,25
170.0,242.69934087602422,0,757,14,413,9,383,21,669,30
170.0,242.69934087602422,1,591,13,413,11,383,18,133,25
170.0,242.69934087602422,2,406,10,413,7,115,22,720,27
172.0,242.97988016375734,0,406,18,413,11,170,23,133,28
172.0,242.97988016375734,1,19,15,413,10,71,18,682,26
172.0,242.97988016375734,2,84,10,413,12,642,22,669,19
174.0,243.26074373045915,0,406,12,413,10,194,26,133,29
174.0,243.26074373045915,1,84,12,413,8,917,22,669,23
174.0,243.26074373045915,2,406,13,413,11,383,22,285,26
176.0,243.54193195096786,0,757,14,413,9,383,17,605,20
176.0,243.54193195096786,1,429,11,401,11,115,16,285,20
176.0,243.54193195096786,2,19,11,413,5,789,17,133,20
178.0,243.823445200555,0,757,7,413,8,357,13,47,12
178.0,243.823445200555,1,406,11,413,7,257,14,252,14
178.0,243.823445200555,2,406,9,413,6,351,11,230,12
180.0,244.10528385492591,0,406,16,413,10,383,17,285,27
180.0,244.10528385492591,1,84,13,413,12,383,19,47,24
180.0,244.10528385492591,2,591,9,413,8,86,19,262,23
182.0,244.38744829022008,0,757,12,486,9,789,23,911,32
182.0,244.38744829022008,1,84,13,413,6,917,21,720,23
182.0,244.38744829022008,2,757,12,486,9,789,23,133,28
184.0,244.6699388830119,0,757,15,413,10,383,24,285,24
184.0,244.6699388830119,1,757,13,486,9,383,25,285,30
184.0,244.6699388830119,2,591,12,413,10,383,20,285,27
186.0,244.95275601031096,0,84,12,413,11,257,17,285,20
186.0,244.95275601031096,1,84,12,413,7,789,21,285,23
186.0,244.95275601031096,2,757,15,413,10,383,20,47,24
188.0,245.23590004956284,0,757,11,413,9,194,22,47,27
188.0,245.23590004956284,1,757,15,413,11,383,22,285,29
188.0,245.23590004956284,2,406,9,413,9,115,24,938,26
190.0,245.51937137864914,0,757,14,413,9,383,23,285,26
190.0,245.51937137864914,1,757,12,413,8,383,23,938,26
190.0,245.51937137864914,2,406,15,486,9,383,21,133,23
192.0,245.8031703758884,0,757,13,413,9,115,20,719,30
192.0,245.8031703758884,1,84,12,413,10,789,20,669,25
192.0,245.8031703758884,2,84,12,413,8,917,17,285,21
194.0,246.0872974200365,0,757,12,486,12,383,22,285,29
194.0,246.0872974200365,1,757,11,486,8,115,23,503,28
194.0,246.0872974200365,2,19,12,413,7,789,16,133,27
196.0,246.371752890287,0,728,10,486,7,71,17,938,20
196.0,246.371752890287,1,19,12,413,7,351,13,285,19
196.0,246.371752890287,2,84,13,413,10,789,18,682,17
198.0,246.65653716627196,0,84,12,413,9,917,18,285,24
198.0,246.65653716627196,1,757,13,486,9,383,25,462,31
198.0,246.65653716627196,2,757,16,486,10,383,23,285,28
200.0,246.94165062806206,0,757,14,486,11,351,18,285,28
200.0,246.94165062806206,1,406,11,486,8,383,24,262,28
200.0,246.94165062806206,2,757,15,486,9,383,24,9,30
202.0,247.22709365616743,0,84,12,413,9,917,21,720,25
202.0,247.22709365616743,1,84,12,413,8,789,18,934,26
202.0,247.22709365616743,2,19,13,486,10,789,26,262,23
204.0,247.51286663153806,0,84,11,413,9,115,17,720,18
204.0,247.51286663153806,1,757,10,486,8,979,17,330,21
204.0,247.51286663153806,2,406,10,486,9,383,16,503,20
206.0,247.7989699355642,0,19,14,413,8,383,18,669,29
206.0,247.7989699355642,1,757,14,486,8,917,24,262,29
206.0,247.7989699355642,2,877,14,486,10,383,22,244,26
208.0,248.08540395007697,0,757,15,413,9,383,15,911,20
208.0,248.08540395007697,1,429,14,486,9,115,22,262,20
208.0,248.08540395007697,2,591,13,413,9,383,14,133,22
210.0,248.37216905734886,0,591,15,413,12,383,15,285,25
210.0,248.37216905734886,1,406,11,486,9,383,19,133,26
210.0,248.37216905734886,2,84,11,413,8,917,20,9,28
212.0,248.6592656400943,0,757,11,486,10,917,22,115,23
212.0,248.6592656400943,1,469,11,486,7,789,18,262,24
212.0,248.6592656400943,2,757,16,486,10,917,23,720,29
214.0,248.94669408147004,0,406,13,486,11,383,19,234,30
214.0,248.94669408147004,1,406,14,401,13,917,20,285,28
214.0,248.94669408147004,2,19,14,486,11,383,21,938,29
216.0,249.23445476507567,0,406,14,486,9,383,23,720,31
216.0,249.23445476507567,1,546,15,413,10,917,19,133,24
216.0,249.23445476507567,2,591,10,413,9,383,17,133,27
218.0,249.5225480749544,0,877,12,486,8,194,22,285,22
218.0,249.5225480749544,1,19,12,486,6,789,19,285,21
218.0,249.5225480749544,2,877,13,486,7,383,18,611,24
220.0,249.810974395593,0,406,8,486,9,383,13,911,17
220.0,249.810974395593,1,757,7,486,6,194,13,115,20
220.0,249.810974395593,2,757,9,486,9,789,12,911,16
222.0,250.09973411192308,0,406,8,486,5,908,10,337,15
222.0,250.09973411192308,1,406,7,486,8,115,11,503,13
222.0,250.09973411192308,2,757,9,413,9,257,13,331,13
224.0,250.3888276093209,0,19,15,486,10,917,19,133,29
224.0,250.3888276093209,1,757,12,486,9,383,17,339,22
224.0,250.3888276093209,2,406,10,486,9,115,22,595,25
226.0,250.67825527360836,0,757,11,486,11,976,24,337,30
226.0,250.67825527360836,1,757,15,486,10,383,19,720,23
226.0,250.67825527360836,2,406,12,486,10,917,23,720,31
228.0,250.9680174910532,0,877,13,486,10,383,19,503,26
228.0,250.9680174910532,1,19,12,486,9,917,20,244,30
228.0,250.9680174910532,2,406,12,486,8,383,21,262,26
230.0,251.25811464836974,0,757,13,486,10,917,23,262,24
230.0,251.25811464836974,1,757,12,486,8,383,19,234,23
230.0,251.25811464836974,2,546,12,401,10,383,18,611,25
232.0,251.54854713271925,0,406,11,486,8,115,28,213,26
232.0,251.54854713271925,1,469,13,401,9,383,19,611,27
232.0,251.54854713271925,2,19,12,486,11,383,18,611,26
234.0,251.83931533171062,0,757,11,486,6,979,19,234,25
234.0,251.83931533171062,1,19,14,486,9,383,19,611,22
234.0,251.83931533171062,2,757,16,486,9,383,20,611,25
236.0,252.1304196334007,0,406,9,486,8,344,27,602,23
236.0,252.1304196334007,1,757,12,486,9,886,25,611,25
236.0,252.1304196334007,2,757,15,401,13,917,21,285,29
238.0,252.4218604262949,0,877,15,486,9,383,21,611,29
238.0,252.4218604262949,1,757,11,486,6,917,25,755,26
238.0,252.4218604262949,2,84,13,413,8,383,23,602,20
240.0,252.71363809934772,0,546,10,486,8,383,23,337,25
240.0,252.71363809934772,1,757,10,486,8,15,27,602,26
240.0,252.71363809934772,2,877,12,486,7,313,29,234,23
242.0,253.00575304196326,0,757,13,401,12,383,16,923,22
242.0,253.00575304196326,1,757,12,486,9,789,20,923,22
242.0,253.00575304196326,2,546,9,401,9,383,16,337,21
244.0,253.29820564399577,0,546,12,486,13,383,16,923,27
244.0,253.29820564399577,1,757,12,486,8,115,21,503,22
244.0,253.29820564399577,2,757,14,486,11,383,19,234,28
246.0,253.59099629575013,0,19,15,401,10,383,16,657,29
246.0,253.59099629575013,1,546,13,486,8,917,19,234,24
246.0,253.59099629575013,2,84,12,413,8,383,19,923,21
248.0,253.88412538798232,0,406,11,486,7,908,19,213,21
248.0,253.88412538798232,1,757,11,486,7,344,22,923,22
248.0,253.88412538798232,2,84,13,486,9,383,18,337,24
250.0,254.17759331190004,0,406,12,486,7,383,19,1021,26
250.0,254.17759331190004,1,877,10,486,5,383,22,657,26
250.0,254.17759331190004,2,757,9,486,8,115,16,1013,20
252.0,254.47140045916322,0,84,14,401,9,383,17,923,23
252.0,254.47140045916322,1,546,12,486,9,917,21,923,25
252.0,254.47140045916322,2,757,11,486,6,344,28,438,27
254.0,254.76554722188447,0,728,13,486,6,313,20,234,24
254.0,254.76554722188447,1,200,9,486,10,383,18,213,27
254.0,254.76554722188447,2,877,14,486,9,383,19,234,26
256.0,255.06003399262966,0,429,9,486,7,265,14,213,19
256.0,255.06003399262966,1,200,9,486,7,115,16,480,18
256.0,255.06003399262966,2,406,11,486,7,383,14,337,18
258.0,255.35486116441842,0,546,12,401,11,383,18,622,24
258.0,255.35486116441842,1,877,13,486,6,383,22,337,23
258.0,255.35486116441842,2,546,13,401,10,383,20,923,26
260.0,255.65002913072473,0,546,15,486,9,886,28,657,24
260.0,255.65002913072473,1,757,15,486,11,383,22,923,24
260.0,255.65002913072473,2,757,14,486,10,976,22,337,18
262.0,255.9455382854773,0,757,12,486,7,344,23,923,27
262.0,255.9455382854773,1,757,11,486,9,383,20,503,28
262.0,255.9455382854773,2,757,14,486,8,383,21,337,23
264.0,256.24138902306026,0,84,11,486,8,383,15,923,15
264.0,256.24138902306026,1,728,13,486,7,383,16,190,19
264.0,256.24138902306026,2,546,15,486,8,383,17,337,19
266.0,256.53758173831363,0,877,13,486,9,383,20,523,21
266.0,256.53758173831363,1,757,16,486,11,976,25,503,23
266.0,256.53758173831363,2,406,13,486,7,383,19,923,25
268.0,256.83411682653383,0,757,12,486,9,344,25,337,24
