lang,group,file,char_level,wer_original,wer_coded,delta,relative
cmn_hans_cn,tone,10343405611041314630.wav,1,0.58,0.62,0.040000000000000036,0.06896551724137938
cmn_hans_cn,tone,10369927130798325266.wav,1,0.44,0.44,0.0,0.0
cmn_hans_cn,tone,10388181945260949729.wav,1,0.4883720930232558,0.4883720930232558,0.0,0.0
cmn_hans_cn,tone,10400579561005332584.wav,1,0.4909090909090909,0.4909090909090909,0.0,0.0
yo_ng,tone,10004614807418206077.wav,0,0.9534883720930233,1.0930232558139534,0.13953488372093015,0.14634146341463405
yo_ng,tone,10012525983487564904.wav,0,0.9090909090909091,1.0,0.09090909090909094,0.10000000000000003
yo_ng,tone,10038578617307429132.wav,0,0.9130434782608695,1.0,0.08695652173913049,0.0952380952380953
yo_ng,tone,10047155452005832869.wav,0,0.9230769230769231,0.9230769230769231,0.0,0.0
yo_ng,tone,10075732340372834797.wav,0,0.8709677419354839,0.8387096774193549,-0.032258064516129004,-0.03703703703703701
yo_ng,tone,10139658276118366380.wav,0,1.1379310344827587,0.9655172413793104,-0.1724137931034483,-0.15151515151515152
yo_ng,tone,1014970211285868104.wav,0,0.8461538461538461,0.9615384615384616,0.11538461538461542,0.1363636363636364
yo_ng,tone,10149713618211834484.wav,0,0.8076923076923077,0.7692307692307693,-0.038461538461538436,-0.04761904761904759
yo_ng,tone,10199418047564275517.wav,0,1.7777777777777777,1.7777777777777777,0.0,0.0
yo_ng,tone,10234795054815643489.wav,0,0.6875,0.75,0.0625,0.09090909090909091
yo_ng,tone,10303761282022018610.wav,0,0.9285714285714286,0.9285714285714286,0.0,0.0
yo_ng,tone,10347105456079071418.wav,0,1.0,0.9487179487179487,-0.05128205128205132,-0.05128205128205132
yo_ng,tone,10354219070800730285.wav,0,1.0810810810810811,0.918918918918919,-0.16216216216216217,-0.15
yo_ng,tone,10370968216531623982.wav,0,1.1578947368421053,1.0526315789473684,-0.10526315789473695,-0.090909090909091
yo_ng,tone,10379015920335788956.wav,0,1.0,1.2121212121212122,0.21212121212121215,0.21212121212121215
yo_ng,tone,10416675910211939177.wav,0,1.0416666666666667,0.8333333333333334,-0.20833333333333337,-0.2
yo_ng,tone,10480623418731541217.wav,0,1.1333333333333333,1.3333333333333333,0.19999999999999996,0.17647058823529407
yo_ng,tone,1050392290980008442.wav,0,0.9565217391304348,0.9565217391304348,0.0,0.0
yo_ng,tone,1051154324778723638.wav,0,1.173913043478261,1.0,-0.17391304347826098,-0.14814814814814822
yo_ng,tone,10527407284601401494.wav,0,0.9629629629629629,0.9629629629629629,0.0,0.0
yo_ng,tone,10537107798285990170.wav,0,0.875,0.875,0.0,0.0
yo_ng,tone,10596990762493183543.wav,0,0.8636363636363636,0.8636363636363636,0.0,0.0
yo_ng,tone,10676374552825725906.wav,0,1.0,1.0,0.0,0.0
yo_ng,tone,1067731832916580127.wav,0,1.0526315789473684,1.0,-0.05263157894736836,-0.04999999999999995
yo_ng,tone,10681623383851479093.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10003612465176046723.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10012704948933492755.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10045377790517390503.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10051106711687525410.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10088366290604436390.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10129440473619912057.wav,0,2.75,1.0,-1.75,-0.6363636363636364
am_et,ejective,10145345127432001964.wav,0,1.0,1.8823529411764706,0.8823529411764706,0.8823529411764706
am_et,ejective,10212564749152212122.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10220122342741781300.wav,0,2.1904761904761907,1.0,-1.1904761904761907,-0.5434782608695653
am_et,ejective,1023762135314771768.wav,0,1.0,1.4666666666666666,0.46666666666666656,0.46666666666666656
am_et,ejective,10240274328941460061.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10248511509370293669.wav,0,2.75,4.125,1.375,0.5
am_et,ejective,10262140668067491488.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10293963889444360150.wav,0,1.8333333333333333,1.0,-0.8333333333333333,-0.45454545454545453
am_et,ejective,10295133453139767268.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10356420688435605249.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10366541048673829831.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10372803738750784706.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10387948286478610097.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10390031479906056559.wav,0,1.0,2.0,1.0,1.0
am_et,ejective,10402937732197933579.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,10406107872501557912.wav,0,1.5,1.5,0.0,0.0
am_et,ejective,10431813547519605439.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,1046481794437753227.wav,0,1.0,1.0,0.0,0.0
am_et,ejective,1048838254901128228.wav,0,1.0,1.0,0.0,0.0
ka_ge,ejective,10022870819550332547.wav,0,0.875,1.0,0.125,0.14285714285714285
ka_ge,ejective,10049298347626572743.wav,0,0.9565217391304348,1.0,0.04347826086956519,0.04545454545454542
ka_ge,ejective,10049690027739027420.wav,0,0.8,0.8666666666666667,0.06666666666666665,0.08333333333333331
ka_ge,ejective,10057217115354444828.wav,0,0.7894736842105263,0.8947368421052632,0.10526315789473684,0.13333333333333333
ka_ge,ejective,10062143887841767445.wav,0,0.7857142857142857,0.8571428571428571,0.0714285714285714,0.09090909090909087
ka_ge,ejective,10074280544572435299.wav,0,0.38461538461538464,0.6923076923076923,0.30769230769230765,0.7999999999999998
ka_ge,ejective,10086793514196598344.wav,0,0.4444444444444444,1.2222222222222223,0.7777777777777779,1.7500000000000004
ka_ge,ejective,10099522782964815640.wav,0,0.8928571428571429,0.8928571428571429,0.0,0.0
ka_ge,ejective,10141718907493268196.wav,0,0.7777777777777778,0.8888888888888888,0.11111111111111105,0.14285714285714277
ka_ge,ejective,10149497495820348562.wav,0,0.8333333333333334,0.8333333333333334,0.0,0.0
ka_ge,ejective,10162098829910091796.wav,0,0.8333333333333334,1.0,0.16666666666666663,0.19999999999999996
ka_ge,ejective,10191190175117818177.wav,0,0.9166666666666666,1.0,0.08333333333333337,0.09090909090909095
ka_ge,ejective,10191859901311198027.wav,0,0.7368421052631579,0.7894736842105263,0.052631578947368474,0.07142857142857151
ka_ge,ejective,10280405335891226955.wav,0,0.7272727272727273,1.0,0.2727272727272727,0.37499999999999994
ka_ge,ejective,10286654056612928025.wav,0,0.8333333333333334,1.0,0.16666666666666663,0.19999999999999996
ka_ge,ejective,10304160118986283422.wav,0,1.0,1.0,0.0,0.0
ka_ge,ejective,1031137562236925386.wav,0,0.75,1.0,0.25,0.3333333333333333
ka_ge,ejective,10313838034202072982.wav,0,0.9354838709677419,1.0,0.06451612903225812,0.06896551724137936
ka_ge,ejective,10323065835453782557.wav,0,0.8,1.0,0.19999999999999996,0.24999999999999994
ka_ge,ejective,10328030181465842780.wav,0,0.8461538461538461,1.0,0.15384615384615385,0.18181818181818182
ka_ge,ejective,10349028373994382840.wav,0,0.8260869565217391,1.0,0.17391304347826086,0.21052631578947367
ka_ge,ejective,104039188855202939.wav,0,1.0,1.0,0.0,0.0
ka_ge,ejective,10418954109040148519.wav,0,0.7142857142857143,1.0,0.2857142857142857,0.39999999999999997
ka_ge,ejective,10424962819857189919.wav,0,0.7368421052631579,0.8947368421052632,0.1578947368421053,0.21428571428571436
ka_ge,ejective,10470571721564216711.wav,0,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.09999999999999991
en_us,control,1003119935936341070.wav,0,0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0
en_us,control,10052240106321793346.wav,0,0.09523809523809523,0.047619047619047616,-0.047619047619047616,-0.5
en_us,control,10167324587744183095.wav,0,0.030303030303030304,1.0,0.9696969696969697,32.0
en_us,control,10197164397713068203.wav,0,0.06666666666666667,1.0,0.9333333333333333,14.0
en_us,control,10233995782544396174.wav,0,0.0,1.0,1.0,nan
en_us,control,10235738076911595987.wav,0,0.0,0.0,0.0,nan
en_us,control,10323357556845456822.wav,0,0.0,0.25,0.25,nan
en_us,control,10335587906469246566.wav,0,0.0625,1.0,0.9375,15.0
en_us,control,10344335557154974057.wav,0,0.21739130434782608,0.2608695652173913,0.043478260869565216,0.2
en_us,control,1036771894648013441.wav,0,0.0,0.9393939393939394,0.9393939393939394,nan
en_us,control,1038214857203833067.wav,0,0.0,1.0,1.0,nan
en_us,control,10383288285905292158.wav,0,0.05263157894736842,0.7368421052631579,0.6842105263157894,12.999999999999998
en_us,control,10405958125670257178.wav,0,0.06896551724137931,0.9310344827586207,0.8620689655172413,12.5
en_us,control,10411016628242228511.wav,0,0.09090909090909091,0.18181818181818182,0.09090909090909091,1.0
en_us,control,1042003289011443756.wav,0,0.0,0.0,0.0,nan
en_us,control,1043394666292127188.wav,0,0.029411764705882353,0.11764705882352941,0.08823529411764705,2.9999999999999996
en_us,control,1045619486290403122.wav,0,0.0,0.0,0.0,nan
en_us,control,1046653381869710616.wav,0,0.10526315789473684,1.0,0.8947368421052632,8.5
en_us,control,10471564175308895403.wav,0,0.0,0.2,0.2,nan
en_us,control,10481451226514948764.wav,0,0.05555555555555555,0.7777777777777778,0.7222222222222222,13.0
en_us,control,10492135991603561867.wav,0,0.125,1.0,0.875,7.0
en_us,control,10492761258488775721.wav,0,0.043478260869565216,1.0,0.9565217391304348,22.0
en_us,control,10536763405165824117.wav,0,0.0,0.0,0.0,nan
en_us,control,1054805305879816018.wav,0,0.034482758620689655,0.9310344827586207,0.896551724137931,26.0
en_us,control,10550734868852131138.wav,0,0.2,0.2,0.0,0.0
fr_fr,control,10043298898524273336.wav,0,0.0,1.0,1.0,nan
